SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfTimes90DaysLate,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome,NumberOfDependents
0,64,0,0.249908,0,0,8158,0
0,58,0,3870,0,0,,0
0,41,0,0.456127,0,0,6666,0
0,43,0,0.00019,0,0,10500,2
1,49,0,0.27182,0,0,400,0
0,55,0,0.324678,0,0,8934,0
0,25,0,0.473421,0,0,2200,0
1,31,0,0.017415,0,0,4076,0
1,37,2,0.23371,0,0,7166,0
0,55,0,0.420954,0,0,3750,0
1,53,10,0.33162,3,1,3500,0
0,57,0,0.337166,0,0,16000,0
1,39,8,0.961171,0,1,9116,1
0,61,0,0.549059,0,0,5900,1
0,78,0,888,0,0,,0
0,58,0,1328,0,0,,2
0,30,0,0.417556,0,0,2904,0
0,27,0,10,0,0,,
0,60,0,0.386186,0,0,9106,1
0,26,0,0.07322,0,1,6500,0
0,56,0,0.494101,0,0,5000,0
0,57,0,0.257227,0,0,15600,0
0,31,0,0.463007,0,0,5500,1
0,62,0,0.372231,0,0,8577,2
0,50,0,0.582908,0,0,8038,2
1,42,3,1296,0,0,,0
0,81,0,0.000678,0,0,5899,0
0,80,0,0,0,0,1600,0
0,73,0,0.111416,0,0,29133,0
1,59,5,3252,1,0,,0
0,41,1,1421,0,0,,0
0,30,0,1513,0,0,,0
1,48,0,0.402904,0,0,8609,4
0,55,0,805,0,0,,0
0,29,0,0.224753,0,0,9000,0
0,69,1,5089,0,0,,0
1,39,1,0.388264,0,0,12900,2
1,47,3,2078,0,1,,0
0,50,0,0.420138,0,0,4200,3
0,25,0,0.020672,0,0,1547,1
1,42,0,2.644356,0,0,1000,1
0,37,0,0.335494,0,0,14500,0
0,71,0,1419,0,0,,
1,62,0,0.434735,0,0,2734,0
0,59,0,2.094595,0,0,2515,0
1,58,1,0.145142,1,0,2500,0
0,61,0,0,0,0,7085,1
1,43,0,1.416861,0,0,3000,0
0,64,0,0.368246,0,1,4811,0
1,47,1,0.504299,3,0,5000,2
1,58,1,0.19515,1,0,7916,1
0,78,0,0.006672,0,0,2397,0
1,51,2,0.0045,0,0,36000,0
1,66,0,0.417904,0,1,4780,0
0,31,0,0.136907,0,0,2928,0
0,78,0,0.008555,0,0,2220,0
0,23,98,0,98,98,,
0,56,0,126,1,0,,0
0,83,0,0.146319,0,0,4250,0
1,41,2,0.163562,0,0,9500,2
0,52,0,0.001852,0,0,8100,0
0,57,0,0.823987,0,0,1800,0
0,25,0,0.182396,0,0,3146,2
1,48,8,3082,1,2,,0
1,53,1,0.381117,0,0,13016,4
1,67,3,1.41014,4,1,4200,0
0,39,0,0.468056,0,0,10846,1
1,56,0,2132,0,0,,0
0,45,0,0.432022,0,0,5920,4
0,39,0,0.545593,0,0,4583,0
0,68,0,0.255769,0,0,10833,0
0,59,0,0.350526,0,0,11593,1
0,54,0,953,0,0,,0
0,63,1,0.134183,0,0,6900,0
0,39,0,1.664668,0,0,2000,0
0,59,1,0.835846,1,0,596,0
1,54,2,1762,0,0,,1
0,37,0,0.31564,0,0,12000,2
1,28,0,68,0,0,,
0,40,0,0.09087,0,0,4643,2
1,54,1,0.268913,0,1,3026,1
1,41,0,0.19027,2,6,3000,1
0,60,0,40,0,0,,0
0,31,0,0.134179,0,0,2600,0
0,51,0,1.11785,0,0,1450,1
0,60,0,0.426719,0,0,4550,0
0,51,0,0.31613,0,0,18833,0
0,69,0,1248,0,0,0,1
0,58,0,54,0,0,,0
0,66,0,0.264484,0,0,3175,0
1,65,0,1.403465,1,0,2423,0
0,86,0,18,0,0,,0
1,40,1,0.405833,1,0,4868,2
1,51,0,0.287639,1,1,3785,0
0,33,0,0.067374,0,0,6500,2
0,45,1,0.611056,0,0,7000,1
0,45,1,0.635668,0,0,6666,2
1,32,1,0.507437,0,0,4033,0
0,58,0,0.95342,0,0,4400,1
0,61,0,0.646335,0,0,1950,0
0,47,0,0.498124,0,0,5329,3
0,82,0,175,0,0,,0
1,74,1,1.157397,0,0,2750,0
0,62,0,0.400313,0,0,3199,0
0,51,0,2.210114,0,0,1660,0
0,37,0,0.575943,0,0,3923,1
0,69,0,1.091272,0,0,1500,0
1,35,0,0.304462,0,0,2666,2
0,34,0,0.008734,1,0,2747,4
1,44,4,0.388193,1,1,13500,2
0,36,1,0.438104,0,0,10250,2
1,58,0,0.744167,0,0,5014,0
1,44,0,2591,0,1,,0
0,52,0,0.072386,0,0,5000,3
0,79,0,0.005852,0,0,3075,0
0,71,0,0.101469,0,0,5853,0
0,47,0,0.786434,0,0,6250,0
0,39,0,0.7515,0,0,3500,3
0,40,3,0.524707,0,0,5200,1
1,60,2,521,0,0,,
0,45,0,0.170883,0,0,10000,1
0,70,0,0.054449,0,0,1505,0
1,54,0,0.527795,0,0,1600,1
0,49,0,0.465804,0,0,5950,2
0,48,1,0.344596,0,0,4024,1
0,52,0,0.006642,0,0,121200,0
1,47,2,0.453641,1,4,7333,0
1,25,0,0.101093,0,0,1463,1
0,38,1,0.435871,0,0,7632,2
1,53,0,2829,0,0,,0
0,36,0,0.05322,0,0,9300,4
0,62,1,0.375348,1,2,6100,0
1,28,0,0,0,0,2925,0
0,44,1,0.555111,0,1,4000,0
0,63,0,183,0,0,,0
0,36,0,0.496638,1,4,3420,2
0,53,0,0.192629,0,0,14000,1
1,42,0,5152,0,0,,0
0,49,1,0.383238,0,0,5750,0
0,63,2,0.191649,0,0,6250,1
0,66,0,0.088333,0,0,4833,0
0,60,0,2102,0,0,,0
0,54,0,0.56241,0,1,7666,0
0,43,0,0.257282,0,0,6968,0
1,33,0,0.286417,1,0,5079,0
0,46,0,0.188362,0,0,3333,0
1,31,0,0,2,0,1600,0
0,64,0,7335,0,0,,0
0,84,0,0.266361,0,0,4583,0
1,43,4,0.553965,3,0,4400,2
0,68,1,0.543491,0,0,5000,0
1,36,0,0,2,0,,0
1,28,1,541,0,2,,0
1,29,0,0.219772,0,1,2720,2
