hostel,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,rating
hostel1,0.675,0.1,0.3,0.875,0.25,0.425,0.35,0.725,0.4,0.275,9
hostel2,0.5,0,0.058823529,0.573529412,0.117647059,0.382352941,0,0.161764706,0.308823529,0,8.3
hostel3,0.520833333,0.041666667,0.020833333,0.666666667,0.229166667,0.4375,0.270833333,0.25,0.395833333,0.270833333,8.6
hostel4,0.692307692,0.038461538,0.038461538,0.346153846,0.076923077,0.307692308,0.5,0.115384615,0.153846154,0.269230769,7.6
hostel5,0.620689655,0,0,0.517241379,0.172413793,0.344827586,0.172413793,0.379310345,0.103448276,0.310344828,8.7
hostel6,0.973684211,0.052631579,0.078947368,0.552631579,0.210526316,0.473684211,0.315789474,0.684210526,0.105263158,0.263157895,9.4
hostel7,0.643835616,0.01369863,0.01369863,0.671232877,0.178082192,0.136986301,0.191780822,0.493150685,0.191780822,0,8.4
hostel8,0.309090909,0.163636364,0.145454545,0.545454545,0.218181818,0.345454545,0.2,0.454545455,0.363636364,0.254545455,7
hostel9,0.666666667,0.018518519,0.037037037,0.5,0.185185185,0.333333333,0.259259259,0.37037037,0,0.333333333,8.9
hostel10,0.5,0,0,0.61627907,0.360465116,0.337209302,0.104651163,0.255813953,0.11627907,0.023255814,8.3
hostel11,0.689655172,0,0.017241379,0.637931034,0.224137931,0.120689655,0,0.034482759,0.310344828,0.034482759,7
hostel12,0.22,0.16,0.12,0.28,0.08,0.26,0.12,0.22,0.26,0.14,8
hostel13,0.58974359,0.025641026,0,0.564102564,0.230769231,0.179487179,0,0.435897436,0.230769231,0,8
hostel14,0.710526316,0.026315789,0,0.526315789,0.184210526,0.394736842,0.184210526,0.578947368,0.184210526,0.368421053,9
hostel15,0.631578947,0,0.052631579,0.842105263,0.421052632,0.684210526,0,0.578947368,0.263157895,0.421052632,7
hostel16,0.333333333,0.066666667,0.066666667,0.9,0.2,0.8,0.3,0.8,0.1,0,8.1
hostel17,0.7,0.02,0.04,0.28,0.12,0.42,0.02,0.58,0.12,0.12,9.5
hostel18,0.448275862,0.120689655,0.034482759,0.327586207,0.120689655,0.603448276,0.224137931,0.155172414,0.189655172,0.137931034,8.9
